,info,sold_at,status,limit_price,nr
13,Reihenmittelhaus mit Gartengrundstück Am Stadtbad 11 a 04654 Frohburg,"21.000,00",Verkauft,"9.000,00",S21-02-012
14,"verpachtetes Grundstück Teichhaus, Flurstück 1156/7 04654 Frohburg","5.010,00",Verkauft,"5.000,00",S21-02-013
15,"Baugrundstück Dorfanger, 04509 Delitzsch","18.000,00",Verkauft,"8.500,00",S21-02-014
16,Nutzungsrecht an 30 KfZ-Stellplätzen Viertelsweg 80 04157 Leipzig,"315.000,00",Verkauft,"175.000,00",S21-02-015
17,ehem. Boardinghouse Westringstraße 91 04435 Schkeuditz,"1.710.000,00",Verkauft,"895.000,00",S21-02-016
18,"Entwicklungsgrundstück 1,5 ha in Leipzig Hallesche Straße, Flste. 2/1, 71/1 04159 Leipzig","500.000,00",Verkauft,"49.000,00",S21-02-017
19,"Gartengrundstück mit 22 Parzellen Windmühlenweg, Flurstück 329 04159 Leipzig","130.000,00",Verkauft,"80.000,00",S21-02-018
,info,sold_at,status,limit_price,nr
0,unbebautes Grundstück Dahlener Straße 04758 Liebschützberg,"3.500,00",Verkauft,"1.200,00",S21-02-019
1,Mehrfamilienhaus Eduardstraße 2 06386 Osternienburger Land,"24.000,00",Verkauft,"5.000,00",S21-02-020
2,ehem. Verwaltungsgebäude Industriestraße 1-4 06869 Coswig (Anhalt),"50.000,00",Verkauft,"19.000,00",S21-02-021
3,Altbau mit großem Gartengrundstück Mühlenstraße 37 06925 Annaburg,"32.000,00",Verkauft,"19.000,00",S21-02-022
4,"unbebaute Grundstücke An den Weiden, Flurstücke 665i, 665h, 201m 04808 Wurzen","42.500,00",Verkauft,"5.000,00",S21-02-023
5,"Bauerwartungsland Dresdner Straße, Flurstück 320 04808 Wurzen","48.000,00",Verkauft,"17.500,00",S21-02-024
6,"unbebautes Grundstück Stolpener Straße, Flurstück 102/2 04808 Lossatal","7.000,00",Verkauft,"2.500,00",S21-02-025
7,Baugrundstück Dorfstraße 2 06237 Leuna,"6.500,00",Verkauft,"2.000,00",S21-02-026
8,ehemaliger Bauernhof Dorfstraße 30 06268 Querfurt,"23.000,00",Verkauft,"15.000,00",S21-02-027
9,"Baugrundstück Lindental, Flurstück 430/67 99448 Kranichfeld","212.000,00",Verkauft,"125.000,00",S21-02-030
10,Kleines Bauerngehöft Schenkgasse 3 99610 Sömmerda,"27.000,00",Verkauft,"12.000,00",S21-02-031
11,"Landwirtschaftsflächen Nahe Amtmann-Wincopp-Straße, 99092 Erfurt","8.000,00",Verkauft,"3.000,00",S21-02-032
12,Feriendorf mit 42 Bungalows in idyllischer Lage Feriendorf 07426 Königsee,"141.000,00",Verkauft,"98.000,00",S21-02-033
